Albernheit	die	axmaqlıq, səfehlik
Alzheimer	der	Altsheymer xəstəliyi
Ambition	die	ambisiya, iddia
Andeutung	die	işarə, eyham
Andenken	das	xatirə, yadigar
Anekdote	die	lətifə, rəvayət
Ansprache	die	müraciət, nitq
Anspielung	die	eyham, işarə
Anziehungskraft	die	cazibə
Auffälligkeit	die	qəribəlik, diqqətçəkənlik
Auflage	die	şərt; tiraj
Aufbruch	der	yola düşmə, ayrılma
Ausdauer	die	dözüm, səbir
Ausdrucksweise	die	ifadə tərzi
Ausführung	die	icra, yerinə yetirmə
Ausgangspunkt	der	başlanğıc nöqtəsi
Auslegung	die	şərh, izah
Aussteiger	der	cəmiyyətdən qopmuş adam
Ausweg	der	çıxış yolu
Avantgarde	die	avanqard
Bachelor	der	bakalavr dərəcəsi
Balance	die	tarazlıq
Balken	der	tir, şüa
Ballade	die	ballada
Banause	der	mədəniyyətsiz adam
Beachtung	die	diqqət, nəzər
Bebilderung	die	şəkilləndirmə, illüstrasiya
Beet	das	çarpayı (bağda)
Begabung	die	istedad
Begeisterung	die	həyəcan
Belehrung	die	təlimat, öyüd
Belletristik	die	bədii ədəbiyyat
Berufseinsteiger	der	peşəyə yeni başlayan
Berufung	die	peşə, çağırış
Besonderheit	die	özəllik
Bestseller	der	çox satılan kitab
Betroffene	der	zərərçəkən, əziyyət çəkən
Betriebsklima	das	iş mühiti
Betriebsrat	der	işçi şurası
Bevölkerungsdichte	die	əhali sıxlığı
Bewusstsein	das	şüur
Bezirk	der	rayon
Bezug	der	əlaqə, istinad
Bildhauer	der	heykəltəraş
Blockade	die	blokada
Boom	der	bum, yüksəliş
Brennpunkt	der	ocaq, mərkəz
Brüstung	die	məhəccər
Bruttoeinkommen	das	ümumi gəlir
Budget	das	büdcə
Code	der	kod
Defizit	das	kəsir
Depression	die	depressiya
Design	das	dizayn
Dilettant	der	həvəskar
Diskrepanz	die	uyğunsuzluq
Diversität	die	müxtəliflik
Dozierende	die	müəllim (universitet)
Drama	das	dram
Dramaturgie	die	dramaturgiya
Drohne	die	pilotsuz uçuş aparatı
Durchbruch	der	sıçrayış
ECTS-Punkte	die	kredit balları
Effizienz	die	səmərəlilik
Eigenbedarf	der	şəxsi ehtiyac
Eignung	die	yararlılıq
Einfall	der	fikir
Eingriff	der	müdaxilə
Einheit	die	vahid
Einmischung	die	qarışma, müdaxilə
Einschreibung	die	qeydiyyat
Einsicht	die	dərk, anlayış
Einwand	der	etiraz
Eleganz	die	zəriflik
Empathie	die	empatiya
Energie	die	enerji
Enthusiasmus	der	həvəs
Entgelt	das	haqq, ödəniş
Entscheidungsfindung	die	qərar qəbuletmə
Entwurf	der	layihə, eskiz
Epoche	die	dövr
Errungenschaft	die	nailiyyət
Erzeuger	der	istehsalçı
Etikette	die	etiket
Eule	die	bayquş
Eventualität	die	ehtimal
Evolution	die	təkamül
Experimentierstadium	das	eksperimental mərhələ
Exposé	das	ekspozisiya, təqdimat
Fabel	die	təmsil
Facette	die	üz, cəhət
Fachkraft	die	mütəxəssis
Fachrichtung	die	ixtisas sahəsi
Feigheit	die	qorxaqlıq
Feinstaub	der	incə toz
Feminismus	der	feminizm
Finalist	der	finalçı
Flair	das	ab-hava, atmosfer
Forum	das	forum
Frauenbeauftragte	die	qadın məsələləri üzrə müvəkkil
Freiberufler	der	sərbəst işçi
Freiraum	der	sərbəstlik
Frequenz	die	tezlik
Frustration	die	məyusluq
Galerist	der	qalereya sahibi
Gefühlsausbruch	der	hiss püskürməsi
Gehaltsabrechnung	die	əmək haqqı hesabatı
Gehaltserhöhung	die	maaş artımı
Gehaltszettel	der	əmək haqqı vərəqəsi
Gehirn	das	beyin
Gen	das	gen
Germanistik	die	germanistika
Geste	die	jest
Gewerbe	das	sənət, ticarət
Gewissenhaftigkeit	die	vicdanlılıq
Glasfasernetz	das	fiber-optik şəbəkə
Gläubiger	der	kreditor
Gleichstellung	die	bərabərlik
Gradmesser	der	meyar, indikator
Grundsicherung	die	əsas təminat
Handlungsstrang	der	hekayə xətti
Handout	das	paylama materialı
Haufen	der	yığın, dəstə
Hektik	die	təlaş
Held	der	qəhrəman
Heldin	die	qəhrəman (qadın)
Hierarchie	die	iyerarxiya
Hilfsbereitschaft	die	köməyə hazır olma
Homo sapiens	der	homo sapiens
Honorar	das	honorar
