Abfall	der	tullantı
Abgas	das	işlənmiş qaz
Abitur	das	ali məktəbə qəbul imtahanı
Abbildung	die	şəkil, illüstrasiya
Abteilung	die	şöbə
Achtung	die	diqqət
Adresse	die	ünvan
Agentur	die	agentlik
Ahnung	die	təsəvvür, zənn, xəbər
Aktion	die	aksiya
Aktivität	die	fəaliyyət
Alarm	der	siqnal, xəbərdarlıq
Alkohol	der	spirt
Alltag	der	gündəlik həyat
Alphabet	das	əlifba
Alter	das	yaş
Altenheim	das	qocalar evi
Altersheim	das	qocalar evi
Ampel	die	işıqfor
Amt	das	idarə, ofis
Angehörige	der	qohum, ailə üzvü
Angestellte	der	işçi, qulluqçu
Ankunft	die	gəliş, çatma
Anlage	die	sistem, qurğu; əlavə (sənəd)
Anmeldung	die	qeydiyyat
Anrede	die	müraciət forması
Anruf	der	zəng
Anrufbeantworter	der	cavab yazısı olan telefon
Ansage	die	elan
Anschluss	der	əlaqə; qoşulma
Anspruch	der	tələb, iddia
Antrag	der	ərizə, təklif
Antwort	die	cavab
Anwalt	der	vəkil
Anzeige	die	elan; bildiriş
Anzug	der	kostyum
Apartment	das	mənzil
Apfel	der	alma
Apotheke	die	aptek
Apparat	der	aparat, cihaz
Appetit	der	iştaha
Aprikose	die	ərik
Arbeit	die	iş
Arbeiter	der	fəhlə
Arbeitgeber	der	işəgötürən
Arbeitnehmer	der	işçi
Arbeitserlaubnis	die	iş icazəsi
Arbeitslosigkeit	die	işsizlik
Arbeitsplatz	der	iş yeri
Arbeitsstelle	die	iş yeri
Ärger	der	qəzəb, narahatlıq
Arm	der	qol
Art	die	növ, cür
Artikel	der	məqalə; artikel
Arzt	der	həkim
Asyl	das	sığınacaq
Auge	das	göz
Augenblick	der	an, məqam
Ausbildung	die	təhsil, peşə hazırlığı
Ausbildungsplatz	der	təcrübə yeri
Ausdruck	der	ifadə; çap
Ausfahrt	die	çıxış (yol)
Ausflug	der	ekskursiya, gəzinti
Ausgabe	die	xərc; buraxılış
Ausgang	der	çıxış
Aushilfe	die	köməkçi işçi
Auskunft	die	məlumat; məlumat bürosu
Ausland	das	xarici ölkələr
Ausländer	der	əcnəbi
Ausnahme	die	istisna
Aussprache	die	tələffüz
Ausstellung	die	sərgi
Ausweis	der	şəxsiyyət vəsiqəsi
Auszubildende	der	təcrübəçi, şagird
Auto	das	avtomobil
Autobahn	die	avtoban
Automat	der	avtomat
Baby	das	körpə
Babysitter	der	körpəyə baxan
Bäckerei	die	çörək sexi
Bad	das	vanna; hamam otağı
Badewanne	die	vanna
Bahn	die	qatar; dəmir yolu
Bahnhof	der	vağzal
Bahnsteig	der	platforma
Balkon	der	balkon
Ball	der	top
Banane	die	banan
Bank	die	bank; skamya
Bankleitzahl	die	bank kodu
Bargeld	das	nəğd pul
Bart	der	saqqal
Batterie	die	batareya
Bauch	der	qarın
Bau	der	tikili; inşaat
Baustelle	die	tikinti sahəsi
Bauer	der	kəndli, fermer
Baum	der	ağac
Beamte	der	dövlət qulluqçusu
Bedingung	die	şərt
Bedienungsanleitung	die	istifadə təlimatı
Beginn	der	başlanğıc
Behörde	die	dövlət orqanı
Beispiel	das	nümunə
Beitrag	der	töhfə; yazı; ödəniş
Bekannte	der	tanış
Beleg	der	qəbz; sübut
Benzin	das	benzin
Beratung	die	məsləhət
Bereich	der	sahə, zona
Berg	der	dağ
Bericht	der	hesabat, məruzə
Beruf	der	peşə
Beschäftigung	die	məşğulluq
Bescheid	der	qərar; məlumat
