Almanca,Azərbaycanca,Kateqoriya,Qeyd
"ab (+ Dativ)","dan etibarən","Ədat","z.B. ab Montag"
"aber","amma / lakin","Bağlayıcı",""
"abfahren (fährt ab)","yola düşmək","Fel","trennbare Verb"
"abgeben (gibt ab)","vermək / təhvil vermək","Fel",""
"abholen","almaq / götürməyə gəlmək","Fel","trennbare Verb"
"die Achtung (Sg.)","diqqət","İsim",""
"die Adresse, -n","ünvan","İsim",""
"die Ahnung, -en","anlayış / fikir","İsim",""
"alle (Pl.) / alles (Sg.)","hamı / hamısı","Əvəzlik",""
"allein","tək / yalnız","Zərf",""
"also","beləliklə / yəni","Bağlayıcı",""
"alt","köhnə / yaşlı","Sifət",""
"das Alter (Sg.)","yaş","İsim",""
"an (+ Dat/Akk)","yanında / üstündə","Ədat","Wechselpräposition"
"ander-","başqa / digər","Sifət","wird dekliniert"
"der Anfang, -e","başlanğıc","İsim",""
"anfangen (fängt an)","başlamaq","Fel","trennbare Verb"
"die Angst, -e","qorxu","İsim",""
"ankommen","gəlib çatmaq","Fel","trennbare Verb"
"anrufen","zəng etmək","Fel","trennbare Verb"
"der Anruf, -e","zəng","İsim",""
"der Anrufbeantworter, -","avtocavabdeh / səsli mesaj qutusu","İsim","səsli poçt / avtocavab"
"die Antwort, -en","cavab","İsim",""
"antworten","cavab vermək","Fel",""
"die Anzeige, -n","elan / reklam","İsim",""
"der Apfel, -","alma","İsim",""
"die Apotheke, -n","aptek","İsim",""
"der Appetit (Sg.)","iştah","İsim",""
"die Arbeit, -en","iş","İsim",""
"arbeiten","işləmək","Fel",""
"arbeitslos","işsiz","Sifət",""
"der Arm, -e","qol","İsim",""
"der Artikel, -","məqalə / artikl","İsim",""
"der Arzt, -e","həkim (kişi)","İsim",""
"die Ärztin, -nen","həkim (qadın)","İsim",""
"auch","da / həm də","Zərf",""
"auf (+ Dat/Akk)","üstündə / üzərində","Ədat","Wechselpräposition"
"aufmachen","açmaq","Fel","trennbare Verb"
"aufpassen","diqqət etmək / baxmaq","Fel","trennbare Verb"
"aufräumen","yığışdırmaq","Fel","trennbare Verb"
