Ambivalenz	die	ambivalens
Kontroverse	die	kontroversiya
Paradigma	das	paradiqma
Ideologie	die	ideologiya
Zeitgeist	der	zamanın ruhu
Subtilität	die	incəlik
Kohärenz	die	tutarlılıq
Inkohärenz	die	tutarsızlıq
Präzedenzfall	der	presedent halı
Ethik	die	etika
Moral	die	əxlaq
Differenzierung	die	differensialılaşma
Abstraktion	die	abstraksiya
Konkretisierung	die	konkretləşdirmə
Synergie	die	sinerji
Divergenz	die	sapma
Konvergenz	die	yaxınlaşma
Authentizität	die	autentiklik
Integrität	die	bütövlük
Spektrum	das	spektr
Bandbreite	die	çeşid / diapazon
Deliberation	die	dərin müzakirə
Rekonstruktion	die	rekonstruksiya
Narrativ	das	narrativ
Hegemonie	die	hegemoniya
Metapher	die	metafora
Diskurs	der	diskurs
Hermeneutik	die	hermenevtika
Dialektik	die	dialektika
Norm	die	norma
Paradoxon	das	paradoks
Äquivalenz	die	ekvivalentlik
Prämisse	die	premissa
Implikation	die	implikasiya
Deduktion	die	deduksiya
Induktion	die	induksiya
Validität	die	etibarlılıq (metod)
Reliabilität	die	təkrarlanabilirlik
Anachronismus	der	anaxronizm
Dogma	das	doqma
Nuance	die	nüans
Idiosynkrasie	die	fərdilik / özünəməxsusluq
Utilitarismus	der	utilitarizm
Nihilismus	der	nihilizm
Relativismus	der	relativizm
Universalismus	der	universalizm
Ontologie	die	ontologiya
Semantik	die	semantika
Pragmatik	die	pragmatika
Lexik	die	leksika
Aporie	die	aporiya
Kontingenz	die	təsadüfilik
Essenz	die	mahiyyət
Fiktion	die	fiksiya
Konstrukt	das	konstrukt
Hybridisierung	die	hibridləşmə
Resilienz	die	dayanıqlılıq
Resonanz	die	rezonans
Legitimation	die	legitimasiya
Delegitimierung	die	legitimasiyanın sökülməsi
