Almanca,Azərbaycanca,Kateqoriya
ca.,təxminən,Abbreviatura
d.h.,yəni,Abbreviatura
ICE,sürətli qatar (Almaniya),Abbreviatura
der Lkw,yük maşını,Abbreviatura
der PC,kompüter,Abbreviatura
SMS,qısa mesaj,Abbreviatura
usw.,və s.,Abbreviatura
WC,tualet,Abbreviatura
z.B.,məsələn,Abbreviatura
der Antwortbogen,cavab vərəqi,İmtahan dili
die Aufgabe,tapşırıq / məsələ,İmtahan dili
das Beispiel,nümunə / misal,İmtahan dili
die Durchsage,elan / bildiriş,İmtahan dili
die Lösung,həll / cavab,İmtahan dili
markieren,işarə etmək,İmtahan dili
der Prüfer / die Prüferin,imtahan götürən (kişi / qadın),İmtahan dili
die Prüfung,imtahan,İmtahan dili
der Punkt,xal / nöqtə,İmtahan dili
der Teil,hissə,İmtahan dili
der Test,test,İmtahan dili
der Text,mətn,İmtahan dili
das Wörterbuch,lüğət,İmtahan dili
der Angestellte / die Angestellte,işçi / əməkdaş,Peşə
der Arzt / die Ärztin,həkim (kişi / qadın),Peşə
der Auszubildende,şagird işçi / stajçı,Peşə
der Autor / die Autorin,müəllif (kişi / qadın),Peşə
der Babysitter,uşaq baxıcısı,Peşə
der Bäcker / die Bäckerin,çörəkçi (kişi / qadın),Peşə
der Doktor / die Doktorin,doktor (kişi / qadın),Peşə
der Fahrer / die Fahrerin,sürücü (kişi / qadın),Peşə
der Friseur / die Friseurin,bərbər / saç ustası (kişi / qadın),Peşə
der Handwerker / die Handwerkerin,usta / işçi (kişi / qadın),Peşə
der Hausmann / die Hausfrau,ev əri / ev xanımı,Peşə
der Journalist / die Journalistin,jurnalist (kişi / qadın),Peşə
der Kaufmann / die Kauffrau,tacir (kişi / qadın),Peşə
der Kellner / die Kellnerin,ofisant (kişi / qadın),Peşə
der Koch / die Köchin,aşpaz (kişi / qadın),Peşə
der Krankenpfleger / die Krankenschwester,tibb bacısı / qardaşı,Peşə
der Künstler / die Künstlerin,sənətkar (kişi / qadın),Peşə
der Lehrer / die Lehrerin,müəllim / müəllimə,Peşə
der Mechaniker / die Mechanikerin,mexanik (kişi / qadın),Peşə
das Model,model,Peşə
der Musiker / die Musikerin,musiqiçi (kişi / qadın),Peşə
der Polizist / die Polizistin,polis (kişi / qadın),Peşə
der Rentner / die Rentnerin,pensiyaçı (kişi / qadın),Peşə
der Sänger / die Sängerin,müğənni (kişi / qadın),Peşə
der Schauspieler / die Schauspielerin,aktyor / aktrisa,Peşə
der Techniker / die Technikerin,texnik (kişi / qadın),Peşə
der Verkäufer / die Verkäuferin,satıcı (kişi / qadın),Peşə
der Bruder,qardaş,Ailə
der Cousin / die Cousine,əmioğlu / əmiqızı,Ailə
die Eltern,valideynlər,Ailə
der Enkel / die Enkelin,nəvə (oğlan / qız),Ailə
die Geschwister,qardaş-bacılar,Ailə
die Großeltern,nənə-baba,Ailə
die Großmutter / Oma,nənə / nənəcik,Ailə
der Großvater / Opa,baba / babacıq,Ailə
das Kind,uşaq,Ailə
die Mutter / Mama,ana / anacan,Ailə
der Onkel,əmi / dayı,Ailə
die Schwester,bacı,Ailə
der Sohn,oğul,Ailə
die Tante,xala / bibi,Ailə
die Tochter,qız (övlad),Ailə
der Vater / Papa,ata / atacan,Ailə
der/die Verwandte,qohum,Ailə
ledig,subay / evlənməmiş,Ailə vəziyyəti
verheiratet,evli,Ailə vəziyyəti
getrennt / geschieden,ayrılmış / boşanmış,Ailə vəziyyəti
blau,mavi,Rəng
braun,qəhvəyi,Rəng
gelb,sarı,Rəng
grau,boz,Rəng
grün,yaşıl,Rəng
lila,bənövşəyi,Rəng
orange,narıncı,Rəng
rosa,çəhrayı,Rəng
rot,qırmızı,Rəng
schwarz,qara,Rəng
weiß,ağ,Rəng
der Norden,şimal,İstiqamət
der Süden,cənub,İstiqamət
der Osten,şərq,İstiqamət
der Westen,qərb,İstiqamət
Deutschland,Almaniya,Ölkə/Milliyyət
der/die Deutsche,alman (kişi/qadın),Ölkə/Milliyyət
deutsch / auf Deutsch,alman / almanca,Ölkə/Milliyyət
Österreich,Avstriya,Ölkə/Milliyyət
der Österreicher / die Österreicherin,avstriyalı (kişi/qadın),Ölkə/Milliyyət
österreichisch,avstriya (sifət),Ölkə/Milliyyət
die Schweiz,İsveçrə,Ölkə/Milliyyət
der Schweizer / die Schweizerin,isveçrəli (kişi/qadın),Ölkə/Milliyyət
schweizerisch,isveçrə (sifət),Ölkə/Milliyyət
Luxemburg,Lüksemburq,Ölkə/Milliyyət
der Luxemburger / die Luxemburgerin,lüksemburqlu (kişi/qadın),Ölkə/Milliyyət
luxemburgisch,lüksemburq (sifət),Ölkə/Milliyyət
Europa,Avropa,Ölkə/Milliyyət
der Europäer / die Europäerin,avropalı (kişi/qadın),Ölkə/Milliyyət
europäisch,Avropa (sifət),Ölkə/Milliyyət
das Abitur,məzuniyyət imtahanı (ali məktəbə giriş),Məktəb
der Direktor,direktor,Məktəb
die Hausaufgabe,ev tapşırığı,Məktəb
die Klasse,sinif,Məktəb
die Klassenfahrt,sinif səyahəti,Məktəb
das Sekretariat,katiblik,Məktəb
der Stundenplan,dərs cədvəli,Məktəb
Biologie,biologiya,Dərs fənni
Chemie,kimya,Dərs fənni
Deutsch,alman dili,Dərs fənni
Englisch,ingilis dili,Dərs fənni
Französisch,fransız dili,Dərs fənni
Geografie,coğrafiya,Dərs fənni
Geschichte,tarix,Dərs fənni
Kunst / Kunsterziehung,rəsm / incəsənət,Dərs fənni
Latein,latın dili,Dərs fənni
Mathematik,riyaziyyat,Dərs fənni
Musik,musiqi,Dərs fənni
Physik,fizika,Dərs fənni
Religion,din,Dərs fənni
Sozialkunde,ictimaiyyət,Dərs fənni
Sport,idman,Dərs fənni
Karneval,karnaval,Bayram
Ostern,Pasxa,Bayram
Weihnachten,Milad,Bayram
Neujahr / Silvester,Yeni il / il qurtarışı,Bayram
der Frühling / das Frühjahr,yaz,Fəsil
der Sommer,yay,Fəsil
der Herbst,payız,Fəsil
der Winter,qış,Fəsil
der Januar,yanvar,Ay
der Februar,fevral,Ay
der März,mart,Ay
der April,aprel,Ay
der Mai,may,Ay
der Juni,iyun,Ay
der Juli,iyul,Ay
der August,avqust,Ay
der September,sentyabr,Ay
der Oktober,oktyabr,Ay
der November,noyabr,Ay
der Dezember,dekabr,Ay
der Tag,gün,Günün vaxtı
der Morgen,səhər,Günün vaxtı
der Vormittag,günortadan əvvəl,Günün vaxtı
der Mittag,günorta,Günün vaxtı
der Nachmittag,günortadan sonra,Günün vaxtı
der Abend,axşam,Günün vaxtı
die Nacht,gecə,Günün vaxtı
die Mitternacht,gecə yarısı,Günün vaxtı
täglich / tagsüber,hər gün / gün ərzində,Günün vaxtı
morgens,səhər (zərf),Günün vaxtı
mittags,günorta (zərf),Günün vaxtı
nachmittags,günortadan sonra (zərf),Günün vaxtı
abends,axşam (zərf),Günün vaxtı
nachts,gecə (zərf),Günün vaxtı
um Mitternacht,gecə yarısı,Günün vaxtı
am Wochenende,həftə sonu,Həftə günü
montags,bazar ertəsi günləri,Həftə günü
dienstags,çərşənbə axşamı günləri,Həftə günü
mittwochs,çərşənbə günləri,Həftə günü
donnerstags,cümə axşamı günləri,Həftə günü
freitags,cümə günləri,Həftə günü
samstags,şənbə günləri,Həftə günü
sonntags,bazar günləri,Həftə günü
der Arbeitstag / Werktag,iş günü,Həftə günü
der Feiertag,bayram günü,Həftə günü
die Sekunde,saniyə,Zaman
die Minute,dəqiqə,Zaman
die Stunde,saat (60 dəq.),Zaman
die Woche,həftə,Zaman
das Jahr,il,Zaman
ab,dan etibarən,Ədat
aber,amma / lakin,Bağlayıcı
abgeben,vermək / təhvil vermək,Fel
abholen,almaq / götürməyə gəlmək,Fel
abschließen,kilidləmək / bitirmək,Fel
die Achtung,diqqət / ehtiyat,İsim
die Adresse,ünvan,İsim
die Ahnung,anlayış / fikir,İsim
aktiv,aktiv / fəal,Sifət
aktuell,cari / aktual,Sifət
all- / alles / alle,hamı / hamısı,Əvəzlik
allein,tək / yalnız,Zərf
als,nisbətən / kimi (peşə),Bağlayıcı
also,beləliklə / yəni,Bağlayıcı
alt,köhnə / yaşlı,Sifət
das Alter,yaş,İsim
die Ampel,svetofor,İsim
an,yanında / üstündə,Ədat
anbieten,təklif etmək,Fel
